,logFC,logCPM,PValue,FDR
35509,0.113922653,7.342872746,0.167639495,0.964826448
11793,0.122488639,8.640846195,0.167829809,0.964826448
24166,-0.116557874,7.36172365,0.168235814,0.964826448
502,0.11426239,7.37016632,0.168396964,0.964826448
56775,0.111209745,8.810268337,0.16845119,0.964826448
25633,0.136959563,8.793575647,0.169212261,0.964826448
50551,0.107586489,9.597089973,0.169510101,0.964826448
10363,-0.110740254,8.258071001,0.16989237,0.964826448
45368,0.103625857,8.602940099,0.170000469,0.964826448
48596,-0.131593194,7.503276349,0.170389945,0.964826448
735,-0.110930312,8.931713742,0.170449682,0.964826448
23957,-0.11482849,9.033001883,0.170473115,0.964826448
14447,-0.115683309,8.563733058,0.170777185,0.964826448
38633,0.122079736,11.19327501,0.170821732,0.964826448
12259,0.109802469,9.250282824,0.171816126,0.96815975
2751,-0.12892041,9.948484471,0.172117289,0.96815975
24583,0.115545347,8.238672509,0.17281739,0.968657277
40895,0.148417904,7.438193476,0.172911499,0.968657277
15192,-0.109625571,7.477026987,0.173446038,0.969672859
47305,-0.105066052,9.311392817,0.174178877,0.971302116
46573,-0.169288586,7.143788546,0.174744533,0.971302116
36441,-0.105680473,9.283847732,0.174864909,0.971302116
21611,0.117950804,7.680440526,0.175152841,0.971302116
46559,0.107896695,7.683754867,0.175613638,0.971894023
34123,0.114277186,7.273014247,0.178082044,0.982857782
48769,0.113243638,7.375886581,0.178796064,0.982857782
22112,-0.100213091,8.540838866,0.178811352,0.982857782
19545,-0.146919,7.179447529,0.179930676,0.982857782
35001,0.12855586,7.467547674,0.180671252,0.982857782
43411,0.138746629,7.689735139,0.180681259,0.982857782
56382,0.124090024,7.205015765,0.180868723,0.982857782
41220,0.126428082,7.807050133,0.1810782,0.982857782
45514,-0.122334604,9.095468521,0.181556916,0.982857782
22136,-0.106626919,7.575340418,0.181924899,0.982857782
23261,-0.137575235,7.148687372,0.182405546,0.982857782
34749,-0.106173175,7.685525089,0.18268051,0.982857782
3081,-0.121802455,7.139650981,0.182722998,0.982857782
18756,-0.106455484,7.771650235,0.183327096,0.982857782
47147,-0.126729734,7.297872992,0.183920391,0.982857782
18714,0.102339719,8.689462753,0.184482651,0.982857782
37651,-0.138935248,7.632569829,0.184735866,0.982857782
22515,0.11302912,7.898814089,0.184905195,0.982857782
48432,-0.152039246,7.601813654,0.185410167,0.982857782
12631,-0.165801883,7.14489935,0.185525325,0.982857782
25616,0.119925365,7.836710565,0.185662393,0.982857782
37656,-0.137851555,7.84291259,0.185966472,0.982857782
1900,-0.104345419,7.947737282,0.186276786,0.982857782
17774,-0.117019564,7.601240874,0.187128335,0.982857782
45674,-0.138918836,7.640335276,0.187211905,0.982857782
2481,-0.146641206,7.285537243,0.187410998,0.982857782
4941,0.104374925,8.892045705,0.187868628,0.982857782
23274,0.105108643,7.639419062,0.18811815,0.982857782
28421,-0.162993484,7.114772471,0.189288061,0.982857782
35228,0.101284462,7.902099733,0.19012225,0.982857782
47944,-0.114412721,7.519559975,0.190922443,0.982857782
12619,-0.134531856,7.375881148,0.190933204,0.982857782
1240,-0.104422607,8.374010102,0.191425703,0.982857782
54005,-0.118391548,7.565171705,0.192148729,0.982857782
54543,0.131746459,11.44163075,0.192241693,0.982857782
39877,0.10511574,8.745711891,0.192283449,0.982857782
24967,-0.104513407,7.912779614,0.192555586,0.982857782
4746,-0.103628944,7.780858414,0.192985907,0.982857782
37983,0.12066189,8.041436479,0.193776409,0.982857782
11388,0.115801911,7.886339845,0.193943245,0.982857782
7765,-0.120532189,7.284360647,0.194069592,0.982857782
20082,-0.130686239,7.486587818,0.194128702,0.982857782
54381,-0.117260801,9.261279939,0.194430363,0.982857782
15989,-0.124056674,7.287293773,0.194565571,0.982857782
36868,-0.135607749,7.59098788,0.194763816,0.982857782
5481,-0.109622693,7.366136345,0.196060705,0.982857782
14106,0.111543611,7.684182979,0.196246068,0.982857782
17785,-0.147253434,7.569299391,0.196512813,0.982857782
29607,0.103503106,7.964924382,0.197673648,0.982857782
47540,-0.096156449,8.621158417,0.197847494,0.982857782
30358,0.20825921,9.576772932,0.198036007,0.982857782
34589,-0.119061064,7.981235666,0.198282576,0.982857782
49716,-0.135013642,7.417436713,0.198430131,0.982857782
22517,-0.241424351,7.212113776,0.199018644,0.982857782
25190,0.1045315,10.06424584,0.199248906,0.982857782
23548,-0.121282145,7.907606281,0.200318058,0.982857782
10226,0.109103391,9.551503692,0.200418447,0.982857782
38143,-0.109275913,7.739141667,0.200810324,0.982857782
34984,-0.107680292,7.451036187,0.200900877,0.982857782
48584,-0.10921338,7.525906053,0.201239644,0.982857782
47268,-0.14607007,7.363806078,0.202635383,0.982857782
9961,0.109584163,7.554769923,0.20320515,0.982857782
52591,-0.192565032,7.194659733,0.203328924,0.982857782
55003,-0.126628743,7.412006752,0.2038447,0.982857782
15107,0.105112451,7.345947368,0.203883247,0.982857782
49835,-0.174277361,7.023283089,0.204225275,0.982857782
57240,0.130553451,7.541211467,0.20424944,0.982857782
32646,-0.111898357,7.733155398,0.204438363,0.982857782
24201,0.124778226,10.12054932,0.204528793,0.982857782
56252,-0.109123861,7.94179494,0.204596312,0.982857782
8231,0.128761891,7.326128299,0.205428678,0.982857782
56574,0.124471025,7.297784878,0.205432529,0.982857782
12124,0.095866372,8.154997965,0.205503559,0.982857782
7555,0.12461728,7.387959107,0.205965859,0.982857782
10526,-0.11476209,7.487043639,0.20754914,0.982857782
13973,-0.131824163,7.934005896,0.208002213,0.982857782
4692,-0.116360501,9.956316142,0.208138395,0.982857782
50359,-0.10742414,7.559925302,0.208301021,0.982857782
37282,-0.143847189,8.595486315,0.208375769,0.982857782
9045,0.101930533,7.333511727,0.209318223,0.982857782
13349,0.091557684,8.573216923,0.210117036,0.982857782
3129,-0.132113151,7.948213123,0.210231496,0.982857782
43194,0.11320106,7.319478943,0.210346437,0.982857782
5010,0.104973078,7.871984329,0.210883719,0.982857782
49866,0.10570816,7.890330304,0.211488431,0.982857782
28492,-0.107589484,7.494552001,0.211854798,0.982857782
34869,-0.118224833,7.410511517,0.212663047,0.982857782
49129,0.106005905,7.350463412,0.213429425,0.982857782
23846,0.112465868,7.202416416,0.213467831,0.982857782
27827,0.10477076,11.2517458,0.213794373,0.982857782
267,0.123390023,7.450700956,0.213815369,0.982857782
16843,0.105459196,7.837055674,0.214108981,0.982857782
53055,-0.153952433,7.378984751,0.214474747,0.982857782
9504,0.102283058,9.216521337,0.214851827,0.982857782
